HandRight X=0.07  Y=0.20  Z=1039.68  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1039.60  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1039.53  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1039.45  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1039.38  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1039.30  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1039.23  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1039.15  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1039.06  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1038.95  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1038.82  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1038.66  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1038.48  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1038.26  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1037.98  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1037.66  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1037.27  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1036.83  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1036.35  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.81  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.21  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.53  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1033.77  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1032.99  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1032.14  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1031.19  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1030.13  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1028.98  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1027.94  | convert 0.6 0.7 
HandRight X=0.07  Y=0.20  Z=1026.92  | convert 0.6 0.7 
